ensembl_gene_id	external_gene_name	gene_biotype	description
ENSRNOG00000019112	Chp2	protein_coding	calcineurin-like EF hand protein 2 [Source:RGD Symbol;Acc:727796]
ENSRNOG00000019120	Hmgcs2	protein_coding	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:RGD Symbol;Acc:2804]
ENSRNOG00000019124	Elovl3	protein_coding	ELOVL fatty acid elongase 3 [Source:RGD Symbol;Acc:1307263]
ENSRNOG00000019127	Zfp606	protein_coding	zinc finger protein 606 [Source:RGD Symbol;Acc:1309810]
ENSRNOG00000019129	Fcgbp	protein_coding	Fc fragment of IgG binding protein [Source:RGD Symbol;Acc:2313189]
ENSRNOG00000019132	Fv1	protein_coding	Friend virus susceptibility 1 [Source:RGD Symbol;Acc:1309326]
ENSRNOG00000019138	Clec11a	protein_coding	C-type lectin domain containing 11A [Source:RGD Symbol;Acc:3627]
ENSRNOG00000019141	Ch25h	protein_coding	cholesterol 25-hydroxylase [Source:RGD Symbol;Acc:1310575]
ENSRNOG00000019142	Fas	protein_coding	Fas cell surface death receptor [Source:RGD Symbol;Acc:619831]
ENSRNOG00000019145	Kdm2a	protein_coding	lysine demethylase 2A [Source:RGD Symbol;Acc:1309419]
ENSRNOG00000019161	Cpeb1	protein_coding	cytoplasmic polyadenylation element binding protein 1 [Source:RGD Symbol;Acc:1310421]
ENSRNOG00000019163	Syt6	protein_coding	synaptotagmin 6 [Source:RGD Symbol;Acc:62012]
ENSRNOG00000019170	Il27	protein_coding	interleukin 27 [Source:RGD Symbol;Acc:1561420]
ENSRNOG00000019178	Taf10	protein_coding	TATA-box binding protein associated factor 10 [Source:RGD Symbol;Acc:1305907]
ENSRNOG00000019184	Npr3	protein_coding	natriuretic peptide receptor 3 [Source:RGD Symbol;Acc:3196]
ENSRNOG00000019189	Acat2	protein_coding	acetyl-CoA acetyltransferase 2 [Source:RGD Symbol;Acc:1359366]
ENSRNOG00000019190	Ankrd22	protein_coding	ankyrin repeat domain 22 [Source:RGD Symbol;Acc:1307862]
ENSRNOG00000019193	Stx1b	protein_coding	syntaxin 1B [Source:RGD Symbol;Acc:3784]
ENSRNOG00000019194	Pitx3	protein_coding	paired-like homeodomain 3 [Source:RGD Symbol;Acc:3332]
ENSRNOG00000019199	Cracr2b	protein_coding	calcium release activated channel regulator 2B [Source:RGD Symbol;Acc:1560911]
ENSRNOG00000019201	Naxe	protein_coding	NAD(P)HX epimerase [Source:RGD Symbol;Acc:1304699]
ENSRNOG00000019202	Pvr	protein_coding	PVR cell adhesion molecule [Source:RGD Symbol;Acc:3813]
ENSRNOG00000019207	Shank1	protein_coding	SH3 and multiple ankyrin repeat domains 1 [Source:RGD Symbol;Acc:621011]
ENSRNOG00000019211	Olfml3	protein_coding	olfactomedin-like 3 [Source:RGD Symbol;Acc:1311106]
ENSRNOG00000019212	Tpp1	protein_coding	tripeptidyl peptidase 1 [Source:RGD Symbol;Acc:621296]
ENSRNOG00000019220	Rhod	protein_coding	ras homolog family member D [Source:RGD Symbol;Acc:1310985]
ENSRNOG00000019221	Gstm4	protein_coding	glutathione S-transferase mu 4 [Source:RGD Symbol;Acc:1565825]
ENSRNOG00000019229	Fbl	protein_coding	fibrillarin [Source:RGD Symbol;Acc:1305542]
ENSRNOG00000019240	Ampd2	protein_coding	adenosine monophosphate deaminase 2 [Source:RGD Symbol;Acc:2110]
ENSRNOG00000019245	Sgf29	protein_coding	SAGA complex associated factor 29 [Source:RGD Symbol;Acc:1310609]
ENSRNOG00000019254	Dyrk1b	protein_coding	dual specificity tyrosine phosphorylation regulated kinase 1B [Source:RGD Symbol;Acc:1307223]
ENSRNOG00000019260	Ceacam20	protein_coding	CEA cell adhesion molecule 20 [Source:RGD Symbol;Acc:1311281]
ENSRNOG00000019266	Tmem223	protein_coding	transmembrane protein 223 [Source:RGD Symbol;Acc:1582829]
ENSRNOG00000019270	P2ry6	protein_coding	pyrimidinergic receptor P2Y6 [Source:RGD Symbol;Acc:620269]
ENSRNOG00000019278	Fsd2	protein_coding	fibronectin type III and SPRY domain containing 2 [Source:RGD Symbol;Acc:1305167]
ENSRNOG00000019280	AABR07002093.1	protein_coding	hypothetical protein LOC691722 [Source:RGD Symbol;Acc:1595996]
ENSRNOG00000019281	Glmp	protein_coding	glycosylated lysosomal membrane protein [Source:RGD Symbol;Acc:1303130]
ENSRNOG00000019283	P2ry2	protein_coding	purinergic receptor P2Y2 [Source:RGD Symbol;Acc:62088]
ENSRNOG00000019296	Gnat2	protein_coding	G protein subunit alpha transducin 2 [Source:RGD Symbol;Acc:1309514]
ENSRNOG00000019301	Lipm	protein_coding	lipase, family member M [Source:RGD Symbol;Acc:1304912]
ENSRNOG00000019302	Stx4	protein_coding	syntaxin 4 [Source:RGD Symbol;Acc:621019]
ENSRNOG00000019306	Syt12	protein_coding	synaptotagmin 12 [Source:RGD Symbol;Acc:621876]
ENSRNOG00000019311	Nfkb2	protein_coding	nuclear factor kappa B subunit 2 [Source:RGD Symbol;Acc:1307189]
ENSRNOG00000019318	Syt3	protein_coding	synaptotagmin 3 [Source:RGD Symbol;Acc:3805]
ENSRNOG00000019319	Fchsd2	protein_coding	FCH and double SH3 domains 2 [Source:RGD Symbol;Acc:1304812]
ENSRNOG00000019328	Phgdh	protein_coding	phosphoglycerate dehydrogenase [Source:RGD Symbol;Acc:61987]
ENSRNOG00000019333	Hipk1	protein_coding	homeodomain interacting protein kinase 1 [Source:RGD Symbol;Acc:1304941]
ENSRNOG00000019338	Dll3	protein_coding	delta like canonical Notch ligand 3 [Source:RGD Symbol;Acc:70953]
ENSRNOG00000019341	Tmem179b	protein_coding	transmembrane protein 179B [Source:RGD Symbol;Acc:1582850]
ENSRNOG00000019342	Sult1a1	protein_coding	sulfotransferase family 1A member 1 [Source:RGD Symbol;Acc:3767]
ENSRNOG00000019356	Lrfn4	protein_coding	leucine rich repeat and fibronectin type III domain containing 4 [Source:RGD Symbol;Acc:1585286]
ENSRNOG00000019358	Esr1	protein_coding	estrogen receptor 1 [Source:RGD Symbol;Acc:2581]
ENSRNOG00000019367	Dclre1b	protein_coding	DNA cross-link repair 1B [Source:RGD Symbol;Acc:1310343]
ENSRNOG00000019369	Slx1b	protein_coding	SLX1 homolog B, structure-specific endonuclease subunit [Source:RGD Symbol;Acc:1311568]
ENSRNOG00000019372	Pc	protein_coding	pyruvate carboxylase [Source:RGD Symbol;Acc:3262]
ENSRNOG00000019376	Zfp329	protein_coding	zinc finger protein 329 [Source:RGD Symbol;Acc:1565029]
ENSRNOG00000019409	Lipk	protein_coding	lipase, family member K [Source:RGD Symbol;Acc:1309724]
ENSRNOG00000019412	Rhbg	protein_coding	Rh family B glycoprotein [Source:RGD Symbol;Acc:727813]
ENSRNOG00000019413	Atg16l2	protein_coding	autophagy related 16-like 2 [Source:RGD Symbol;Acc:1311400]
ENSRNOG00000019414	Tmem79	protein_coding	transmembrane protein 79 [Source:RGD Symbol;Acc:1309886]
ENSRNOG00000019416		protein_coding	
ENSRNOG00000019417	Hsd3b5	protein_coding	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5 [Source:RGD Symbol;Acc:2838]
ENSRNOG00000019418	Lrrc4b	protein_coding	leucine rich repeat containing 4B [Source:RGD Symbol;Acc:1307121]
ENSRNOG00000019419	Taf6l	protein_coding	TATA-box binding protein associated factor 6 like [Source:RGD Symbol;Acc:1310123]
ENSRNOG00000019424	Aspdh	protein_coding	aspartate dehydrogenase domain containing [Source:RGD Symbol;Acc:1310111]
ENSRNOG00000019426	Ramac	protein_coding	RNA guanine-7 methyltransferase activating subunit [Source:RGD Symbol;Acc:1310022]
ENSRNOG00000019427	Tescl	protein_coding	tescalcin-like [Source:RGD Symbol;Acc:1311676]
ENSRNOG00000019430	Coro1a	protein_coding	coronin 1A [Source:RGD Symbol;Acc:620009]
ENSRNOG00000019432	Lypd5	protein_coding	Ly6/Plaur domain containing 5 [Source:RGD Symbol;Acc:1560355]
ENSRNOG00000019435	Psd	protein_coding	pleckstrin and Sec7 domain containing [Source:RGD Symbol;Acc:620297]
ENSRNOG00000019439	Polr2g	protein_coding	RNA polymerase II subunit G [Source:RGD Symbol;Acc:621284]
ENSRNOG00000019440	Kcnn4	protein_coding	potassium calcium-activated channel subfamily N member 4 [Source:RGD Symbol;Acc:621476]
ENSRNOG00000019441	Hsd3b2	protein_coding	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2 [Source:RGD Symbol;Acc:67377]
ENSRNOG00000019442	Josd2	protein_coding	Josephin domain containing 2 [Source:RGD Symbol;Acc:1307305]
ENSRNOG00000019448	Lipf	protein_coding	lipase F, gastric type [Source:RGD Symbol;Acc:708441]
ENSRNOG00000019453	Rps5	protein_coding	ribosomal protein S5 [Source:RGD Symbol;Acc:3601]
ENSRNOG00000019455	Ap4b1	protein_coding	adaptor related protein complex 4 subunit beta 1 [Source:RGD Symbol;Acc:1310529]
ENSRNOG00000019461	Zbtb3	protein_coding	zinc finger and BTB domain containing 3 [Source:RGD Symbol;Acc:1561140]
ENSRNOG00000019464	Ttc9c	protein_coding	tetratricopeptide repeat domain 9C [Source:RGD Symbol;Acc:1359253]
ENSRNOG00000019465	Gnai3	protein_coding	G protein subunit alpha i3 [Source:RGD Symbol;Acc:2714]
ENSRNOG00000019468	Rce1	protein_coding	Ras converting CAAX endopeptidase 1 [Source:RGD Symbol;Acc:1309261]
ENSRNOG00000019470	Hao2	protein_coding	hydroxyacid oxidase 2 [Source:RGD Symbol;Acc:70972]
ENSRNOG00000019485	Kat8	protein_coding	branched chain ketoacid dehydrogenase kinase [Source:RGD Symbol;Acc:2198]
ENSRNOG00000019489	Armt1	protein_coding	acidic residue methyltransferase 1 [Source:RGD Symbol;Acc:1305235]
ENSRNOG00000019491	Stard10	protein_coding	StAR-related lipid transfer domain containing 10 [Source:RGD Symbol;Acc:1306548]
ENSRNOG00000019497	Mrpl17	protein_coding	mitochondrial ribosomal protein L17 [Source:RGD Symbol;Acc:70943]
ENSRNOG00000019501	Rmnd1	protein_coding	required for meiotic nuclear division 1 homolog [Source:RGD Symbol;Acc:1309546]
ENSRNOG00000019507	Hnrnpul2	protein_coding	heterogeneous nuclear ribonucleoprotein U-like 2 [Source:RGD Symbol;Acc:1562784]
ENSRNOG00000019508	Wars2	protein_coding	tryptophanyl tRNA synthetase 2 (mitochondrial) [Source:RGD Symbol;Acc:1593417]
ENSRNOG00000019509	Fbxl15	protein_coding	F-box and leucine-rich repeat protein 15 [Source:RGD Symbol;Acc:1306444]
ENSRNOG00000019529	Btbd1	protein_coding	BTB domain containing 1 [Source:RGD Symbol;Acc:1310962]
ENSRNOG00000019532	Emc10	protein_coding	ER membrane protein complex subunit 10 [Source:RGD Symbol;Acc:1303214]
ENSRNOG00000019534	Ap2a2	protein_coding	adaptor related protein complex 2 subunit alpha 2 [Source:RGD Symbol;Acc:71015]
ENSRNOG00000019544	Zbtb2	protein_coding	zinc finger and BTB domain containing 2 [Source:RGD Symbol;Acc:1306621]
ENSRNOG00000019549	Akap12	protein_coding	A-kinase anchoring protein 12 [Source:RGD Symbol;Acc:70988]
ENSRNOG00000019555	Arap1	protein_coding	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:RGD Symbol;Acc:1310385]
ENSRNOG00000019560	Pde2a	protein_coding	phosphodiesterase 2A [Source:RGD Symbol;Acc:620965]
ENSRNOG00000019565	Tbx15	protein_coding	T-box transcription factor 15 [Source:RGD Symbol;Acc:1308094]
ENSRNOG00000019570	Gng3	protein_coding	G protein subunit gamma 3 [Source:RGD Symbol;Acc:620805]
ENSRNOG00000019574	Cuedc2	protein_coding	CUE domain containing 2 [Source:RGD Symbol;Acc:1308096]
ENSRNOG00000019578	Rps16	protein_coding	ribosomal protein S16 [Source:RGD Symbol;Acc:621031]
ENSRNOG00000019582	Mthfd1l	protein_coding	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like [Source:RGD Symbol;Acc:1307311]
ENSRNOG00000019590	Smg5	protein_coding	SMG5 nonsense mediated mRNA decay factor [Source:RGD Symbol;Acc:1584731]
ENSRNOG00000019596	Smg9	protein_coding	SMG9 nonsense mediated mRNA decay factor [Source:RGD Symbol;Acc:1309888]
ENSRNOG00000019599	Olr230	protein_coding	olfactory receptor 230 [Source:RGD Symbol;Acc:1334002]
ENSRNOG00000019600	Olr231	protein_coding	olfactory receptor 231 [Source:RGD Symbol;Acc:1333909]
ENSRNOG00000019607	Bglap	protein_coding	bone gamma-carboxyglutamate protein [Source:RGD Symbol;Acc:2206]
ENSRNOG00000019613	Syt9	protein_coding	synaptotagmin 9 [Source:RGD Symbol;Acc:621169]
ENSRNOG00000019614	Ptpn22	protein_coding	protein tyrosine phosphatase, non-receptor type 22 [Source:RGD Symbol;Acc:1307992]
ENSRNOG00000019616	Prss8	protein_coding	serine protease 8 [Source:RGD Symbol;Acc:619973]
ENSRNOG00000019620	Pmf1	protein_coding	polyamine-modulated factor 1 [Source:RGD Symbol;Acc:1584694]
ENSRNOG00000019626	Slc27a5	protein_coding	solute carrier family 27 member 5 [Source:RGD Symbol;Acc:708535]
ENSRNOG00000019627	Mybpc2	protein_coding	myosin binding protein C2 [Source:RGD Symbol;Acc:1311596]
ENSRNOG00000019638	Lmna	protein_coding	lamin A/C [Source:RGD Symbol;Acc:620456]
ENSRNOG00000019660	Spib	protein_coding	Spi-B transcription factor [Source:RGD Symbol;Acc:1565899]
ENSRNOG00000019662	Tm6sf1	protein_coding	transmembrane 6 superfamily member 1 [Source:RGD Symbol;Acc:1307978]
ENSRNOG00000019666	Ubxn1	protein_coding	UBX domain protein 1 [Source:RGD Symbol;Acc:1309471]
ENSRNOG00000019667	Ppfibp2	protein_coding	PPFIA binding protein 2 [Source:RGD Symbol;Acc:1565383]
ENSRNOG00000019670	Wdr3	protein_coding	WD repeat domain 3 [Source:RGD Symbol;Acc:1307480]
ENSRNOG00000019671	Rsbn1	protein_coding	round spermatid basic protein 1 [Source:RGD Symbol;Acc:1307231]
ENSRNOG00000019674	Mfsd13a	protein_coding	major facilitator superfamily domain containing 13A [Source:RGD Symbol;Acc:1309313]
ENSRNOG00000019675	Pycard	protein_coding	PYD and CARD domain containing [Source:RGD Symbol;Acc:628637]
ENSRNOG00000019681	Pold1	protein_coding	DNA polymerase delta 1, catalytic subunit [Source:RGD Symbol;Acc:621839]
ENSRNOG00000019685	Gdpd3	protein_coding	glycerophosphodiester phosphodiesterase domain containing 3 [Source:RGD Symbol;Acc:1308386]
ENSRNOG00000019687	Art2b	protein_coding	ADP-ribosyltransferase 2b [Source:RGD Symbol;Acc:3521]
ENSRNOG00000019693	Clpb	protein_coding	caseinolytic mitochondrial matrix peptidase chaperone subunit B [Source:RGD Symbol;Acc:621328]
ENSRNOG00000019701	RGD1597339	protein_coding	uncharacterized protein LOC690349 [Source:RGD Symbol;Acc:1597339]
ENSRNOG00000019702	Med29	protein_coding	mediator complex subunit 29 [Source:RGD Symbol;Acc:1311009]
ENSRNOG00000019706	Phox2a	protein_coding	paired-like homeobox 2a [Source:RGD Symbol;Acc:621323]
ENSRNOG00000019708	Ctsf	protein_coding	cathepsin F [Source:RGD Symbol;Acc:1308181]
ENSRNOG00000019721	Ypel3	protein_coding	yippee-like 3 [Source:RGD Symbol;Acc:1564579]
ENSRNOG00000019724	Ganab	protein_coding	glucosidase II alpha subunit [Source:RGD Symbol;Acc:1309775]
ENSRNOG00000019725	Actr1a	protein_coding	actin related protein 1A [Source:RGD Symbol;Acc:1307025]
ENSRNOG00000019728	Itgam	protein_coding	integrin subunit alpha M [Source:RGD Symbol;Acc:2926]
ENSRNOG00000019730	Inppl1	protein_coding	inositol polyphosphate phosphatase-like 1 [Source:RGD Symbol;Acc:68396]
ENSRNOG00000019737	Sema4a	protein_coding	semaphorin 4A [Source:RGD Symbol;Acc:1304636]
ENSRNOG00000019738	Gpr61	protein_coding	G protein-coupled receptor 61 [Source:RGD Symbol;Acc:1310176]
ENSRNOG00000019740	Hdgfl3	protein_coding	HDGF like 3 [Source:RGD Symbol;Acc:628773]
ENSRNOG00000019745	Actn3	protein_coding	actinin alpha 3 [Source:RGD Symbol;Acc:621792]
ENSRNOG00000019746	Paf1	protein_coding	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:RGD Symbol;Acc:1306219]
ENSRNOG00000019751	Cyb5r2	protein_coding	cytochrome b5 reductase 2 [Source:RGD Symbol;Acc:1308421]
ENSRNOG00000019754	Gdap2	protein_coding	ganglioside-induced differentiation-associated-protein 2 [Source:RGD Symbol;Acc:1306050]
ENSRNOG00000019770	Bnc1	protein_coding	basonuclin 1 [Source:RGD Symbol;Acc:1309042]
ENSRNOG00000019771	Tbx6	protein_coding	T-box transcription factor 6 [Source:RGD Symbol;Acc:1307716]
ENSRNOG00000019776	Sh3gl3	protein_coding	SH3 domain containing GRB2 like 3, endophilin A3 [Source:RGD Symbol;Acc:620578]
ENSRNOG00000019780	Sypl2	protein_coding	synaptophysin-like 2 [Source:RGD Symbol;Acc:1309907]
ENSRNOG00000019785	Phtf1	protein_coding	putative homeodomain transcription factor 1 [Source:RGD Symbol;Acc:620426]
ENSRNOG00000019794	Ovch2	protein_coding	ovochymase 2 [Source:RGD Symbol;Acc:1564636]
ENSRNOG00000019802	Zfp428	protein_coding	zinc finger protein 428 [Source:RGD Symbol;Acc:1564862]
ENSRNOG00000019807	Sufu	protein_coding	SUFU negative regulator of hedgehog signaling [Source:RGD Symbol;Acc:1559462]
ENSRNOG00000019812	Nr1h2	protein_coding	nuclear receptor subfamily 1, group H, member 2 [Source:RGD Symbol;Acc:61906]
ENSRNOG00000019813	Ppp4c	protein_coding	protein phosphatase 4, catalytic subunit [Source:RGD Symbol;Acc:621225]
ENSRNOG00000019825	Zdhhc24	protein_coding	zinc finger, DHHC-type containing 24 [Source:RGD Symbol;Acc:1565630]
ENSRNOG00000019832	Bbs1	protein_coding	Bardet-Biedl syndrome 1 [Source:RGD Symbol;Acc:1307581]
ENSRNOG00000019838	Gmfg	protein_coding	glia maturation factor, gamma [Source:RGD Symbol;Acc:620506]
ENSRNOG00000019846	Muc5b	protein_coding	mucin 5B, oligomeric mucus/gel-forming [Source:RGD Symbol;Acc:1561983]
ENSRNOG00000019851	Cox6a2	protein_coding	cytochrome c oxidase subunit 6A2 [Source:RGD Symbol;Acc:2385]
ENSRNOG00000019854	Napsa	protein_coding	napsin A aspartic peptidase [Source:RGD Symbol;Acc:61940]
ENSRNOG00000019858	Rom1	protein_coding	retinal outer segment membrane protein 1 [Source:RGD Symbol;Acc:1306070]
ENSRNOG00000019861	Tollip	protein_coding	toll interacting protein [Source:RGD Symbol;Acc:1304676]
ENSRNOG00000019862	Pinlyp	protein_coding	phospholipase A2 inhibitor and LY6/PLAUR domain containing [Source:RGD Symbol;Acc:1565787]
ENSRNOG00000019868	Psma5	protein_coding	proteasome 20S subunit alpha 5 [Source:RGD Symbol;Acc:61848]
ENSRNOG00000019869	Lrfn1	protein_coding	leucine rich repeat and fibronectin type III domain containing 1 [Source:RGD Symbol;Acc:1304707]
ENSRNOG00000019873	B3gat3	protein_coding	EMAP like 3 [Source:RGD Symbol;Acc:7630023]
ENSRNOG00000019879	Sycn	protein_coding	syncollin [Source:RGD Symbol;Acc:620862]
ENSRNOG00000019883	Pak4	protein_coding	p21 (RAC1) activated kinase 4 [Source:RGD Symbol;Acc:1307705]
ENSRNOG00000019885	Magi3	protein_coding	membrane associated guanylate kinase, WW and PDZ domain containing 3 [Source:RGD Symbol;Acc:621362]
ENSRNOG00000019890	Folr2	protein_coding	folate receptor beta [Source:RGD Symbol;Acc:1308515]
ENSRNOG00000019902	Folr1	protein_coding	folate receptor alpha [Source:RGD Symbol;Acc:71032]
ENSRNOG00000019908	Lamtor2	protein_coding	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:RGD Symbol;Acc:1562501]
ENSRNOG00000019913	Mta2	protein_coding	metastasis associated 1 family, member 2 [Source:RGD Symbol;Acc:1306743]
ENSRNOG00000019914	Tlcd3b	protein_coding	TLC domain containing 3B [Source:RGD Symbol;Acc:1308215]
ENSRNOG00000019915	Xrcc1	protein_coding	X-ray repair cross complementing 1 [Source:RGD Symbol;Acc:619823]
ENSRNOG00000019920	Doc2a	protein_coding	double C2 domain alpha [Source:RGD Symbol;Acc:620518]
ENSRNOG00000019933	Ubqln4	protein_coding	ubiquilin 4 [Source:RGD Symbol;Acc:1308273]
ENSRNOG00000019935	Armc5	protein_coding	armadillo repeat containing 5 [Source:RGD Symbol;Acc:1306553]
ENSRNOG00000019936	Anapc15	protein_coding	anaphase promoting complex subunit 15 [Source:RGD Symbol;Acc:1311634]
ENSRNOG00000019940	Ssr2	protein_coding	signal sequence receptor subunit 2 [Source:RGD Symbol;Acc:1308365]
ENSRNOG00000019942	Fbxo17	protein_coding	F-box protein 17 [Source:RGD Symbol;Acc:1308308]
ENSRNOG00000019949	Mrps12	protein_coding	mitochondrial ribosomal protein S12 [Source:RGD Symbol;Acc:1306221]
ENSRNOG00000019950	Peli3	protein_coding	pellino E3 ubiquitin protein ligase family member 3 [Source:RGD Symbol;Acc:1305989]
ENSRNOG00000019957	Lrig2	protein_coding	leucine-rich repeats and immunoglobulin-like domains 2 [Source:RGD Symbol;Acc:1309554]
ENSRNOG00000019959	Kcnc3	protein_coding	potassium voltage-gated channel subfamily C member 3 [Source:RGD Symbol;Acc:621358]
ENSRNOG00000019960	Ino80e	protein_coding	INO80 complex subunit E [Source:RGD Symbol;Acc:1359572]
ENSRNOG00000019962	Sars2	protein_coding	seryl-tRNA synthetase 2, mitochondrial [Source:RGD Symbol;Acc:1309456]
ENSRNOG00000019964	Taok2	protein_coding	TAO kinase 2 [Source:RGD Symbol;Acc:621590]
ENSRNOG00000019965	Tgfb1i1	protein_coding	transforming growth factor beta 1 induced transcript 1 [Source:RGD Symbol;Acc:620173]
ENSRNOG00000019968	Trim8	protein_coding	tripartite motif-containing 8 [Source:RGD Symbol;Acc:1585223]
ENSRNOG00000019970	mrpl11	protein_coding	mitochondrial ribosomal protein L11 [Source:RGD Symbol;Acc:1359665]
ENSRNOG00000019973	Arl3	protein_coding	ADP ribosylation factor like GTPase 3 [Source:RGD Symbol;Acc:69327]
ENSRNOG00000019982	Ethe1	protein_coding	ETHE1, persulfide dioxygenase [Source:RGD Symbol;Acc:1311034]
ENSRNOG00000019996	Slc16a1	protein_coding	solute carrier family 16 member 1 [Source:RGD Symbol;Acc:3690]
ENSRNOG00000019999	Lypd3	protein_coding	Ly6/Plaur domain containing 3 [Source:RGD Symbol;Acc:69053]
ENSRNOG00000020000	Tmem219	protein_coding	transmembrane protein 219 [Source:RGD Symbol;Acc:1560566]
ENSRNOG00000020009	Npas4	protein_coding	neuronal PAS domain protein 4 [Source:RGD Symbol;Acc:628866]
ENSRNOG00000020010	Kctd13	protein_coding	potassium channel tetramerization domain containing 13 [Source:RGD Symbol;Acc:735189]
ENSRNOG00000020013	Psrc1	protein_coding	proline and serine rich coiled-coil 1 [Source:RGD Symbol;Acc:1585037]
ENSRNOG00000020014	Myh14	protein_coding	myosin heavy chain 14 [Source:RGD Symbol;Acc:1306821]
ENSRNOG00000020016	Lamtor1	protein_coding	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:RGD Symbol;Acc:735078]
ENSRNOG00000020020	Wbp1l	protein_coding	WW domain binding protein 1-like [Source:RGD Symbol;Acc:1305793]
ENSRNOG00000020021	Brsk2	protein_coding	BR serine/threonine kinase 2 [Source:RGD Symbol;Acc:1566256]
ENSRNOG00000020025	Slc29a2	protein_coding	solute carrier family 29 member 2 [Source:RGD Symbol;Acc:69296]
ENSRNOG00000020027	Arhgef2	protein_coding	Rho/Rac guanine nucleotide exchange factor 2 [Source:RGD Symbol;Acc:1304659]
ENSRNOG00000020035	Cyp17a1	protein_coding	cytochrome P450, family 17, subfamily a, polypeptide 1 [Source:RGD Symbol;Acc:2456]
ENSRNOG00000020039	Slc5a2	protein_coding	solute carrier family 5 member 2 [Source:RGD Symbol;Acc:620217]
ENSRNOG00000020044	Mob2	protein_coding	MOB kinase activator 2 [Source:RGD Symbol;Acc:1562983]
ENSRNOG00000020047	Tut1	protein_coding	terminal uridylyl transferase 1, U6 snRNA-specific [Source:RGD Symbol;Acc:1561043]
ENSRNOG00000020057	Tex101	protein_coding	testis expressed 101 [Source:RGD Symbol;Acc:621373]
ENSRNOG00000020058	Celsr2	protein_coding	cadherin, EGF LAG seven-pass G-type receptor 2 [Source:RGD Symbol;Acc:69237]
ENSRNOG00000020060	Atf5	protein_coding	activating transcription factor 5 [Source:RGD Symbol;Acc:628902]
ENSRNOG00000020063	Nfkbib	protein_coding	NFKB inhibitor beta [Source:RGD Symbol;Acc:621887]
ENSRNOG00000020075	Eef1g	protein_coding	eukaryotic translation elongation factor 1 gamma [Source:RGD Symbol;Acc:1302939]
ENSRNOG00000020076	Borcs7	protein_coding	BLOC-1 related complex subunit 7 [Source:RGD Symbol;Acc:1311783]
ENSRNOG00000020081	As3mt	protein_coding	arsenite methyltransferase [Source:RGD Symbol;Acc:621325]
ENSRNOG00000020098	Lypd4	protein_coding	Ly6/Plaur domain containing 4 [Source:RGD Symbol;Acc:1583497]
ENSRNOG00000020102	Sirt2	protein_coding	sirtuin 2 [Source:RGD Symbol;Acc:621481]
ENSRNOG00000020109	Dmrtc2	protein_coding	DMRT-like family C2 [Source:RGD Symbol;Acc:1583739]
ENSRNOG00000020110	B4gat1	protein_coding	beta-1,4-glucuronyltransferase 1 [Source:RGD Symbol;Acc:1309541]
ENSRNOG00000020113	Cnnm2	protein_coding	cyclin and CBS domain divalent metal cation transport mediator 2 [Source:RGD Symbol;Acc:1308162]
ENSRNOG00000020117	Brms1	protein_coding	BRMS1, transcriptional repressor and anoikis regulator [Source:RGD Symbol;Acc:1311057]
ENSRNOG00000020124	Lrrc51	protein_coding	leucine rich repeat containing 51 [Source:RGD Symbol;Acc:1565856]
ENSRNOG00000020125	Cd79a	protein_coding	CD79a molecule [Source:RGD Symbol;Acc:6484896]
ENSRNOG00000020130	Arhgef1	protein_coding	Rho guanine nucleotide exchange factor 1 [Source:RGD Symbol;Acc:620951]
ENSRNOG00000020131		protein_coding	hypothetical protein LOC685544 [Source:RGD Symbol;Acc:1592604]
ENSRNOG00000020139	Khdc4	protein_coding	KH domain containing 4, pre-mRNA splicing factor [Source:MGI Symbol;Acc:MGI:1921450]
ENSRNOG00000020144	Rusf1	protein_coding	RUS family member 1 [Source:RGD Symbol;Acc:1310127]
ENSRNOG00000020148	Il4i1	protein_coding	interleukin 4 induced 1 [Source:RGD Symbol;Acc:1304831]
ENSRNOG00000020150	Il18bp	protein_coding	interleukin 18 binding protein [Source:RGD Symbol;Acc:620042]
ENSRNOG00000020164	Ifitm10	protein_coding	interferon induced transmembrane protein 10 [Source:RGD Symbol;Acc:1563319]
ENSRNOG00000020165	Ahsp	protein_coding	alpha hemoglobin stabilizing protein [Source:RGD Symbol;Acc:1306725]
ENSRNOG00000020175	Rnf121	protein_coding	ring finger protein 121 [Source:RGD Symbol;Acc:1307857]
ENSRNOG00000020179	Nt5c2	protein_coding	5'-nucleotidase, cytosolic II [Source:RGD Symbol;Acc:2323387]
ENSRNOG00000020182	Mvp	protein_coding	major vault protein [Source:RGD Symbol;Acc:70932]
ENSRNOG00000020188	Trpc2	protein_coding	transient receptor potential cation channel subfamily C member 2 [Source:RGD Symbol;Acc:628819]
ENSRNOG00000020191	Tbc1d17	protein_coding	TBC1 domain family, member 17 [Source:RGD Symbol;Acc:1309686]
ENSRNOG00000020196	Scgb1a1	protein_coding	secretoglobin family 1A member 1 [Source:RGD Symbol;Acc:3934]
