gene	rTS_Plac1	e13.5_KO	e18.5_KO	gene	external_gene_name	gene_biotype	description
ENSRNOG00000011054	1	0	0	ENSRNOG00000011054	Laptm5	protein_coding	lysosomal protein transmembrane 5 [Source:RGD Symbol;Acc:621838]
ENSRNOG00000011132	1	0	0	ENSRNOG00000011132	D430041D05Rik	protein_coding	RIKEN cDNA D430041D05 gene [Source:MGI Symbol;Acc:MGI:2181743]
ENSRNOG00000011208	1	0	0	ENSRNOG00000011208	Rapsn	protein_coding	receptor-associated protein of the synapse [Source:RGD Symbol;Acc:1311592]
ENSRNOG00000011401	1	0	0	ENSRNOG00000011401	Usp50	protein_coding	ubiquitin specific peptidase 50 [Source:RGD Symbol;Acc:1564751]
ENSRNOG00000011504	1	0	0	ENSRNOG00000011504	Akap2	protein_coding	A-kinase anchoring protein 2 [Source:RGD Symbol;Acc:1305135]
ENSRNOG00000011690	1	0	0	ENSRNOG00000011690	Rmdn3	protein_coding	regulator of microtubule dynamics 3 [Source:RGD Symbol;Acc:1308697]
ENSRNOG00000011854	1	0	0	ENSRNOG00000011854	Dennd11	protein_coding	DENN domain containing 11 [Source:RGD Symbol;Acc:1563986]
ENSRNOG00000012419	1	0	1	ENSRNOG00000012419	Zscan29	protein_coding	zinc finger and SCAN domain containing 29 [Source:RGD Symbol;Acc:1559150]
ENSRNOG00000012603	1	0	0	ENSRNOG00000012603	Sestd1	protein_coding	SEC14 and spectrin domain containing 1 [Source:RGD Symbol;Acc:1562244]
ENSRNOG00000012722	1	0	0	ENSRNOG00000012722	Ppdpf	protein_coding	pancreatic progenitor cell differentiation and proliferation factor [Source:RGD Symbol;Acc:1310660]
ENSRNOG00000012761	1	0	0	ENSRNOG00000012761	Ak8	protein_coding	adenylate kinase 8 [Source:RGD Symbol;Acc:1303144]
ENSRNOG00000012826	1	0	0	ENSRNOG00000012826	Creb3l2	protein_coding	cAMP responsive element binding protein 3-like 2 [Source:RGD Symbol;Acc:1306040]
ENSRNOG00000012956	1	0	0	ENSRNOG00000012956	Tgm2	protein_coding	transglutaminase 2 [Source:RGD Symbol;Acc:621081]
ENSRNOG00000012989	1	0	0	ENSRNOG00000012989	Serinc2	protein_coding	serine incorporator 2 [Source:RGD Symbol;Acc:1311396]
ENSRNOG00000013135	1	0	0	ENSRNOG00000013135	Ptpn12	protein_coding	protein tyrosine phosphatase, non-receptor type 12 [Source:RGD Symbol;Acc:620894]
ENSRNOG00000013179	1	0	0	ENSRNOG00000013179	Tinagl1	protein_coding	tubulointerstitial nephritis antigen-like 1 [Source:RGD Symbol;Acc:70956]
ENSRNOG00000013267	1	0	1	ENSRNOG00000013267	Helz2	protein_coding	helicase with zinc finger 2 [Source:RGD Symbol;Acc:1306056]
ENSRNOG00000013547	1	0	1	ENSRNOG00000013547	Slc6a12	protein_coding	solute carrier family 6 member 12 [Source:RGD Symbol;Acc:620255]
ENSRNOG00000013631	1	0	0	ENSRNOG00000013631	Slc31a2	protein_coding	solute carrier family 31 member 2 [Source:RGD Symbol;Acc:1307963]
ENSRNOG00000013745	1	0	0	ENSRNOG00000013745	Ctrc	protein_coding	chymotrypsin C [Source:RGD Symbol;Acc:1308379]
ENSRNOG00000013816	1	0	0	ENSRNOG00000013816	Cmas	protein_coding	cytidine monophosphate N-acetylneuraminic acid synthetase [Source:RGD Symbol;Acc:1310911]
ENSRNOG00000013820	1	0	0	ENSRNOG00000013820	Tnfrsf14	protein_coding	TNF receptor superfamily member 14 [Source:RGD Symbol;Acc:1310115]
ENSRNOG00000014357	1	0	0	ENSRNOG00000014357	Gja4	protein_coding	gap junction protein, alpha 4 [Source:RGD Symbol;Acc:2691]
ENSRNOG00000014436	1	0	1	ENSRNOG00000014436	Ppip5k1	protein_coding	diphosphoinositol pentakisphosphate kinase 1 [Source:RGD Symbol;Acc:1311552]
ENSRNOG00000014713	1	0	0	ENSRNOG00000014713	Csgalnact2	protein_coding	chondroitin sulfate N-acetylgalactosaminyltransferase 2 [Source:RGD Symbol;Acc:1563660]
ENSRNOG00000014771	1	0	0	ENSRNOG00000014771	Wfdc8	protein_coding	WAP four-disulfide core domain 8 [Source:RGD Symbol;Acc:1597713]
ENSRNOG00000014831	1	0	0	ENSRNOG00000014831	Ccin	protein_coding	calicin [Source:RGD Symbol;Acc:1359369]
ENSRNOG00000014838	1	0	0	ENSRNOG00000014838	Glipr2	protein_coding	GLI pathogenesis-related 2 [Source:RGD Symbol;Acc:1583669]
ENSRNOG00000014961	1	0	1	ENSRNOG00000014961	Pdpn	protein_coding	podoplanin [Source:RGD Symbol;Acc:61819]
ENSRNOG00000014975	1	0	0	ENSRNOG00000014975	Zfp483	protein_coding	zinc finger protein 483 [Source:RGD Symbol;Acc:727958]
ENSRNOG00000015072	1	0	0	ENSRNOG00000015072	Ptgr1	protein_coding	prostaglandin reductase 1 [Source:RGD Symbol;Acc:621195]
ENSRNOG00000015125	1	0	0	ENSRNOG00000015125	Spsb2	protein_coding	splA/ryanodine receptor domain and SOCS box containing 2 [Source:RGD Symbol;Acc:1310854]
ENSRNOG00000015184	1	0	0	ENSRNOG00000015184	Clic3	protein_coding	chloride intracellular channel 3 [Source:RGD Symbol;Acc:1307249]
ENSRNOG00000015187	1	0	1	ENSRNOG00000015187	Acot8	protein_coding	acyl-CoA thioesterase 8 [Source:RGD Symbol;Acc:70368]
ENSRNOG00000015637	1	0	0	ENSRNOG00000015637		protein_coding	similar to Vomeromodulin [Source:RGD Symbol;Acc:1594746]
ENSRNOG00000015677	1	0	0	ENSRNOG00000015677	Cda	protein_coding	cytidine deaminase [Source:RGD Symbol;Acc:1311101]
ENSRNOG00000015736	1	0	0	ENSRNOG00000015736	Dhrs3	protein_coding	dehydrogenase/reductase 3 [Source:RGD Symbol;Acc:1305584]
ENSRNOG00000017044	1	0	0	ENSRNOG00000017044	Ccdc183	protein_coding	coiled-coil domain containing 183 [Source:RGD Symbol;Acc:1560370]
ENSRNOG00000017061	1	0	0	ENSRNOG00000017061	Patl2	protein_coding	PAT1 homolog 2 [Source:RGD Symbol;Acc:1307887]
ENSRNOG00000017073	1	0	0	ENSRNOG00000017073	Ca9	protein_coding	carbonic anhydrase 9 [Source:RGD Symbol;Acc:1306426]
ENSRNOG00000017212	1	0	0	ENSRNOG00000017212	Spsb1	protein_coding	splA/ryanodine receptor domain and SOCS box containing 1 [Source:RGD Symbol;Acc:1309319]
ENSRNOG00000017693	1	0	0	ENSRNOG00000017693	Slc2a5	protein_coding	solute carrier family 2 member 5 [Source:RGD Symbol;Acc:68328]
ENSRNOG00000017959	1	0	1	ENSRNOG00000017959	Cfap100	protein_coding	cilia and flagella associated protein 100 [Source:RGD Symbol;Acc:1305768]
ENSRNOG00000018286	1	0	0	ENSRNOG00000018286	Chrna1	protein_coding	cholinergic receptor nicotinic alpha 1 subunit [Source:RGD Symbol;Acc:69277]
ENSRNOG00000018363	1	0	0	ENSRNOG00000018363	Hectd3	protein_coding	HECT domain E3 ubiquitin protein ligase 3 [Source:RGD Symbol;Acc:1309823]
ENSRNOG00000018406	1	0	0	ENSRNOG00000018406	Wipf1	protein_coding	WAS/WASL interacting protein family, member 1 [Source:RGD Symbol;Acc:620887]
ENSRNOG00000018441	1	0	0	ENSRNOG00000018441	Ggt7	protein_coding	gamma-glutamyltransferase 7 [Source:RGD Symbol;Acc:619870]
ENSRNOG00000018463	1	0	0	ENSRNOG00000018463	Dynlt4	protein_coding	dynein light chain Tctex-type 4 [Source:RGD Symbol;Acc:1565942]
ENSRNOG00000018484	1	0	0	ENSRNOG00000018484	Plk3	protein_coding	polo-like kinase 3 [Source:RGD Symbol;Acc:62039]
ENSRNOG00000018666	1	0	0	ENSRNOG00000018666	Gpsm1	protein_coding	G-protein signaling modulator 1 [Source:RGD Symbol;Acc:628682]
ENSRNOG00000019299	1	0	0	ENSRNOG00000019299	Edem2	protein_coding	ER degradation enhancing alpha-mannosidase like protein 2 [Source:RGD Symbol;Acc:1303074]
ENSRNOG00000019339	1	0	0	ENSRNOG00000019339	Ttll11	protein_coding	tubulin tyrosine ligase like11 [Source:RGD Symbol;Acc:1588742]
ENSRNOG00000019589	1	0	0	ENSRNOG00000019589	Tas1r3	protein_coding	taste 1 receptor member 3 [Source:RGD Symbol;Acc:620539]
ENSRNOG00000019758	1	0	0	ENSRNOG00000019758	Ipo13	protein_coding	importin 13 [Source:RGD Symbol;Acc:620071]
ENSRNOG00000019842	1	1	0	ENSRNOG00000019842	Artn	protein_coding	artemin [Source:RGD Symbol;Acc:621427]
ENSRNOG00000020106	1	0	0	ENSRNOG00000020106	Tnfrsf4	protein_coding	TNF receptor superfamily member 4 [Source:RGD Symbol;Acc:3920]
ENSRNOG00000020244	1	0	0	ENSRNOG00000020244	Perm1	protein_coding	PPARGC1 and ESRR induced regulator, muscle 1 [Source:RGD Symbol;Acc:1304931]
ENSRNOG00000020295	1	0	1	ENSRNOG00000020295	Plekhn1	protein_coding	pleckstrin homology domain containing N1 [Source:RGD Symbol;Acc:1311019]
ENSRNOG00000021237	1	0	0	ENSRNOG00000021237	Dnaaf9	protein_coding	dynein axonemal assembly factor 9 [Source:RGD Symbol;Acc:1565616]
ENSRNOG00000021259	1	0	1	ENSRNOG00000021259	Prnp	protein_coding	prion protein [Source:RGD Symbol;Acc:3410]
ENSRNOG00000021262	1	0	0	ENSRNOG00000021262	Slc23a2	protein_coding	solute carrier family 23 member 2 [Source:RGD Symbol;Acc:619876]
ENSRNOG00000021334	1	0	0	ENSRNOG00000021334	Lag3	protein_coding	lymphocyte activating 3 [Source:RGD Symbol;Acc:1302990]
ENSRNOG00000021402	1	0	0	ENSRNOG00000021402	Ankrd53	protein_coding	ankyrin repeat domain 53 [Source:RGD Symbol;Acc:1561200]
ENSRNOG00000021729	1	0	0	ENSRNOG00000021729	Iqub	protein_coding	IQ motif and ubiquitin domain containing [Source:RGD Symbol;Acc:4145674]
ENSRNOG00000021817	1	0	0	ENSRNOG00000021817	Irak2	protein_coding	interleukin-1 receptor-associated kinase 2 [Source:RGD Symbol;Acc:1309584]
ENSRNOG00000022155	1	0	1	ENSRNOG00000022155	RGD1560289	protein_coding	similar to chromosome 3 open reading frame 20 [Source:RGD Symbol;Acc:1560289]
ENSRNOG00000022162	1	0	0	ENSRNOG00000022162	Pbx3	protein_coding	PBX homeobox 3 [Source:RGD Symbol;Acc:1307198]
ENSRNOG00000022225	1	0	0	ENSRNOG00000022225	Lrrc19	protein_coding	leucine rich repeat containing 19 [Source:RGD Symbol;Acc:1591722]
ENSRNOG00000022309	1	0	0	ENSRNOG00000022309	Frem1	protein_coding	Fras1 related extracellular matrix 1 [Source:RGD Symbol;Acc:1306981]
ENSRNOG00000022455	1	0	1	ENSRNOG00000022455	Cptp	protein_coding	ceramide-1-phosphate transfer protein [Source:RGD Symbol;Acc:1359656]
ENSRNOG00000022710	1	0	0	ENSRNOG00000022710	Prrg4	protein_coding	proline rich and Gla domain 4 [Source:RGD Symbol;Acc:1560542]
ENSRNOG00000022890	1	0	0	ENSRNOG00000022890	RGD1562532	protein_coding	hypothetical gene supported by BC079057 [Source:RGD Symbol;Acc:1562532]
ENSRNOG00000022990	1	0	1	ENSRNOG00000022990	Ifnk	protein_coding	interferon kappa [Source:RGD Symbol;Acc:1309045]
ENSRNOG00000023035	1	0	0	ENSRNOG00000023035	Smim8	protein_coding	small integral membrane protein 8 [Source:RGD Symbol;Acc:1305158]
ENSRNOG00000023100	1	0	0	ENSRNOG00000023100	Dynlt5	protein_coding	dynein light chain Tctex-type family member 5 [Source:RGD Symbol;Acc:1311932]
ENSRNOG00000023320	1	0	0	ENSRNOG00000023320	Tspan1	protein_coding	tetraspanin 1 [Source:RGD Symbol;Acc:1303308]
ENSRNOG00000023612	1	1	0	ENSRNOG00000023612	Doxl1	protein_coding	diamine oxidase-like protein 1 [Source:RGD Symbol;Acc:735023]
ENSRNOG00000023746	1	0	0	ENSRNOG00000023746	Tmem39b	protein_coding	transmembrane protein 39b [Source:RGD Symbol;Acc:1359450]
ENSRNOG00000023874	1	0	0	ENSRNOG00000023874	Tmem62	protein_coding	transmembrane protein 62 [Source:RGD Symbol;Acc:1305647]
ENSRNOG00000023895	1	0	0	ENSRNOG00000023895	Ube2u	protein_coding	ubiquitin conjugating enzyme E2 U [Source:RGD Symbol;Acc:1565480]
ENSRNOG00000024533	1	0	0	ENSRNOG00000024533	Eogt	protein_coding	EGF domain specific O-linked N-acetylglucosamine transferase [Source:RGD Symbol;Acc:1359357]
ENSRNOG00000024563	1	0	0	ENSRNOG00000024563	Ganc	protein_coding	glucosidase, alpha; neutral C [Source:RGD Symbol;Acc:2660]
ENSRNOG00000024705	1	0	1	ENSRNOG00000024705	Rarres2	protein_coding	retinoic acid receptor responder 2 [Source:RGD Symbol;Acc:1309874]
ENSRNOG00000024799	1	1	0	ENSRNOG00000024799	Cd93	protein_coding	CD93 molecule [Source:RGD Symbol;Acc:621251]
ENSRNOG00000025295	1	0	0	ENSRNOG00000025295	Mavs	protein_coding	mitochondrial antiviral signaling protein [Source:RGD Symbol;Acc:1359371]
ENSRNOG00000026036	1	0	0	ENSRNOG00000026036	Pdyn	protein_coding	prodynorphin [Source:RGD Symbol;Acc:62054]
ENSRNOG00000026293	1	0	1	ENSRNOG00000026293	Jun	protein_coding	Jun proto-oncogene, AP-1 transcription factor subunit [Source:RGD Symbol;Acc:2943]
ENSRNOG00000026323	1	0	0	ENSRNOG00000026323	Eqtn	protein_coding	equatorin [Source:RGD Symbol;Acc:1563332]
ENSRNOG00000027026	1	0	0	ENSRNOG00000027026	Jazf1	protein_coding	JAZF zinc finger 1 [Source:RGD Symbol;Acc:1589007]
ENSRNOG00000027392	1	0	0	ENSRNOG00000027392	Ccdc187	protein_coding	coiled-coil domain containing 187 [Source:RGD Symbol;Acc:1565512]
ENSRNOG00000027630	1	0	0	ENSRNOG00000027630	Dnai7	protein_coding	dynein axonemal intermediate chain 7 [Source:RGD Symbol;Acc:1311213]
ENSRNOG00000027900	1	0	0	ENSRNOG00000027900	Glt6d1	protein_coding	glycosyltransferase 6 domain containing 1 [Source:RGD Symbol;Acc:1311348]
ENSRNOG00000027955	1	0	0	ENSRNOG00000027955	Zfp133	protein_coding	zinc finger protein 133 [Source:RGD Symbol;Acc:1566283]
ENSRNOG00000027988	1	0	0	ENSRNOG00000027988	Zhx3	protein_coding	zinc fingers and homeoboxes 3 [Source:RGD Symbol;Acc:631431]
ENSRNOG00000028083	1	0	0	ENSRNOG00000028083	Tmem35b	protein_coding	transmembrane protein 35B [Source:RGD Symbol;Acc:2319741]
ENSRNOG00000028721	1	0	0	ENSRNOG00000028721	Otor	protein_coding	otoraplin [Source:RGD Symbol;Acc:1305253]
ENSRNOG00000028910	1	0	0	ENSRNOG00000028910	Ccdc9b	protein_coding	coiled-coil domain containing 9B [Source:RGD Symbol;Acc:1565536]
ENSRNOG00000029449	1	0	0	ENSRNOG00000029449	Ror1	protein_coding	receptor tyrosine kinase-like orphan receptor 1 [Source:RGD Symbol;Acc:1559469]
ENSRNOG00000030914	1	0	0	ENSRNOG00000030914	Lexm	protein_coding	lymphocyte expansion molecule [Source:RGD Symbol;Acc:1559493]
ENSRNOG00000031834	1	0	1	ENSRNOG00000031834	Nkain4	protein_coding	Sodium/potassium transporting ATPase interacting 4 [Source:RGD Symbol;Acc:1305809]
ENSRNOG00000032539	1	0	0	ENSRNOG00000032539	Spag8	protein_coding	sperm associated antigen 8 [Source:RGD Symbol;Acc:1307079]
ENSRNOG00000032994	1	0	1	ENSRNOG00000032994	Myom3	protein_coding	myomesin 3 [Source:RGD Symbol;Acc:1310060]
ENSRNOG00000033110	1	0	1	ENSRNOG00000033110	Svep1	protein_coding	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:RGD Symbol;Acc:1588987]
ENSRNOG00000033119	1	0	1	ENSRNOG00000033119	Plcb4	protein_coding	phospholipase C, beta 4 [Source:RGD Symbol;Acc:3345]
ENSRNOG00000033573	1	0	0	ENSRNOG00000033573	Sgk2	protein_coding	serum/glucocorticoid regulated kinase 2 [Source:RGD Symbol;Acc:620232]
ENSRNOG00000033639	1	0	0	ENSRNOG00000033639	Zfp777	protein_coding	zinc finger protein 777 [Source:RGD Symbol;Acc:1566056]
ENSRNOG00000033984	1	0	0	ENSRNOG00000033984	Ifnlr1	protein_coding	interferon, lambda receptor 1 [Source:RGD Symbol;Acc:1562689]
ENSRNOG00000034031	1	0	0	ENSRNOG00000034031	Vstm2l	protein_coding	V-set and transmembrane domain containing 2 like [Source:RGD Symbol;Acc:1305725]
ENSRNOG00000036856	1	0	0	ENSRNOG00000036856	AC097183.1	protein_coding	ring finger protein 223 [Source:RGD Symbol;Acc:1587009]
ENSRNOG00000036942	1	0	0	ENSRNOG00000036942	Tnfrsf9	protein_coding	TNF receptor superfamily member 9 [Source:RGD Symbol;Acc:1598208]
ENSRNOG00000037035	1	0	0	ENSRNOG00000037035	Pramef12	protein_coding	PRAME family member 12 [Source:RGD Symbol;Acc:1587431]
ENSRNOG00000037124	1	1	0	ENSRNOG00000037124	Fam227b	protein_coding	family with sequence similarity 227, member B [Source:RGD Symbol;Acc:1359452]
ENSRNOG00000037134	1	0	0	ENSRNOG00000037134	Shc4	protein_coding	SHC adaptor protein 4 [Source:RGD Symbol;Acc:1583644]
ENSRNOG00000037432	1	0	0	ENSRNOG00000037432	Exo5	protein_coding	exonuclease 5 [Source:RGD Symbol;Acc:1309802]
ENSRNOG00000037795	1	0	0	ENSRNOG00000037795	Ldlrad1	protein_coding	low density lipoprotein receptor class A domain containing 1 [Source:RGD Symbol;Acc:1597398]
ENSRNOG00000039336	1	0	0	ENSRNOG00000039336	Hrct1	protein_coding	histidine rich carboxyl terminus 1 [Source:RGD Symbol;Acc:2323278]
ENSRNOG00000042162	1	0	0	ENSRNOG00000042162	Wfdc3	protein_coding	WAP four-disulfide core domain 3 [Source:RGD Symbol;Acc:1305295]
ENSRNOG00000042163	1	0	0	ENSRNOG00000042163	Btbd19	protein_coding	BTB domain containing 19 [Source:RGD Symbol;Acc:2320529]
ENSRNOG00000042556	1	0	0	ENSRNOG00000042556	Bmyc	protein_coding	brain expressed myelocytomatosis oncogene [Source:RGD Symbol;Acc:1584970]
ENSRNOG00000042603	1	0	0	ENSRNOG00000042603	Ttc39b	protein_coding	tetratricopeptide repeat domain 39B [Source:RGD Symbol;Acc:1305797]
ENSRNOG00000043059	1	0	0	ENSRNOG00000043059	Aplf	protein_coding	aprataxin and PNKP like factor [Source:RGD Symbol;Acc:1565557]
ENSRNOG00000043151	1	1	0	ENSRNOG00000043151	Cntln	protein_coding	centlein [Source:RGD Symbol;Acc:1308101]
ENSRNOG00000043311	1	0	1	ENSRNOG00000043311	Birc7	protein_coding	baculoviral IAP repeat-containing 7 [Source:RGD Symbol;Acc:1562883]
ENSRNOG00000043404	1	0	0	ENSRNOG00000043404	Uroc1	protein_coding	urocanate hydratase 1 [Source:RGD Symbol;Acc:1587777]
ENSRNOG00000045801	1	0	0	ENSRNOG00000045801		protein_coding	
ENSRNOG00000045843	1	0	0	ENSRNOG00000045843	Rusc2	protein_coding	RUN and SH3 domain containing 2 [Source:RGD Symbol;Acc:1592688]
ENSRNOG00000045997	1	0	0	ENSRNOG00000045997	Chst14	protein_coding	carbohydrate sulfotransferase 14 [Source:RGD Symbol;Acc:1585023]
ENSRNOG00000046607	1	0	0	ENSRNOG00000046607	Cited4	protein_coding	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4 [Source:RGD Symbol;Acc:620113]
ENSRNOG00000046905	1	0	0	ENSRNOG00000046905	Sgce	protein_coding	sarcoglycan, epsilon [Source:RGD Symbol;Acc:1303201]
ENSRNOG00000046922	1	0	0	ENSRNOG00000046922	Phactr4	protein_coding	phosphatase and actin regulator 4 [Source:RGD Symbol;Acc:1592823]
ENSRNOG00000046958	1	0	0	ENSRNOG00000046958	Abo	protein_coding	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:RGD Symbol;Acc:2307241]
ENSRNOG00000047422	1	0	1	ENSRNOG00000047422	AABR07051244.1	protein_coding	
ENSRNOG00000047578	1	0	0	ENSRNOG00000047578	Ccdc28b	protein_coding	coiled coil domain containing 28B [Source:RGD Symbol;Acc:1583447]
ENSRNOG00000047928	1	0	1	ENSRNOG00000047928	AABR07048653.1	protein_coding	similar to response gene to complement 32 [Source:RGD Symbol;Acc:1585621]
ENSRNOG00000048417	1	0	1	ENSRNOG00000048417	Obp2b	protein_coding	odorant binding protein 2B [Source:RGD Symbol;Acc:708374]
ENSRNOG00000048726	1	1	0	ENSRNOG00000048726	Clec2d	protein_coding	C-type lectin domain family 2, member D [Source:RGD Symbol;Acc:620070]
ENSRNOG00000048782	1	0	1	ENSRNOG00000048782	Wnt7a	protein_coding	Wnt family member 7A [Source:RGD Symbol;Acc:69079]
ENSRNOG00000048961	1	0	0	ENSRNOG00000048961	Bhlhe41	protein_coding	basic helix-loop-helix family, member e41 [Source:RGD Symbol;Acc:70900]
ENSRNOG00000049326	1	0	0	ENSRNOG00000049326	Tmem234	protein_coding	transmembrane protein 234 [Source:RGD Symbol;Acc:1583487]
ENSRNOG00000049874	1	1	0	ENSRNOG00000049874	P3r3urf	protein_coding	PIK3R3 upstream reading frame [Source:RGD Symbol;Acc:6491750]
ENSRNOG00000050204	1	0	0	ENSRNOG00000050204	Naif1	protein_coding	nuclear apoptosis inducing factor 1 [Source:RGD Symbol;Acc:1597546]
ENSRNOG00000050231	1	0	0	ENSRNOG00000050231	Gng12	protein_coding	G protein subunit gamma 12 [Source:RGD Symbol;Acc:621516]
ENSRNOG00000050277	1	0	1	ENSRNOG00000050277	Uckl1	protein_coding	uridine-cytidine kinase 1-like 1 [Source:RGD Symbol;Acc:1565465]
ENSRNOG00000052174	1	0	0	ENSRNOG00000052174		protein_coding	dynein light chain 1-like [Source:RGD Symbol;Acc:2319160]
ENSRNOG00000052294	1	0	0	ENSRNOG00000052294	Spint3	protein_coding	serine peptidase inhibitor, Kunitz type, 3 [Source:RGD Symbol;Acc:1597746]
ENSRNOG00000055779	1	0	0	ENSRNOG00000055779	Tdrd7	protein_coding	tudor domain containing 7 [Source:RGD Symbol;Acc:619724]
ENSRNOG00000056219	1	0	0	ENSRNOG00000056219	Olr1	protein_coding	oxidized low density lipoprotein receptor 1 [Source:RGD Symbol;Acc:620515]
ENSRNOG00000056688	1	0	0	ENSRNOG00000056688	Acnat1	protein_coding	acyl-coenzyme A amino acid N-acyltransferase 1 [Source:RGD Symbol;Acc:1584701]
ENSRNOG00000056819	1	0	0	ENSRNOG00000056819	Susd1	protein_coding	sushi domain containing 1 [Source:RGD Symbol;Acc:1306966]
ENSRNOG00000056984	1	0	1	ENSRNOG00000056984	Baz2b	protein_coding	bromodomain adjacent to zinc finger domain, 2B [Source:RGD Symbol;Acc:1309801]
ENSRNOG00000057284	1	0	1	ENSRNOG00000057284	Cenpb	protein_coding	centromere protein B [Source:RGD Symbol;Acc:1304794]
ENSRNOG00000058870	1	1	1	ENSRNOG00000058870	Mroh7	protein_coding	maestro heat-like repeat family member 7 [Source:RGD Symbol;Acc:1563440]
ENSRNOG00000059227	1	0	0	ENSRNOG00000059227	Akap3	protein_coding	A-kinase anchoring protein 3 [Source:RGD Symbol;Acc:1359735]
ENSRNOG00000059243	1	0	0	ENSRNOG00000059243	AABR07051787.1	protein_coding	similar to phosducin-like [Source:RGD Symbol;Acc:1584015]
ENSRNOG00000059507	1	0	0	ENSRNOG00000059507	Lamc3	protein_coding	laminin subunit gamma 3 [Source:RGD Symbol;Acc:1309399]
ENSRNOG00000059538	1	0	1	ENSRNOG00000059538	Clec2g	protein_coding	C-type lectin domain family 2, member G [Source:RGD Symbol;Acc:1563148]
ENSRNOG00000059891	1	0	0	ENSRNOG00000059891	NEWGENE_1308612	protein_coding	MRG domain binding protein [Source:RGD Symbol;Acc:1308612]
ENSRNOG00000060520	1	1	1	ENSRNOG00000060520	AABR07048387.1	protein_coding	shortage in chiasmata 1 [Source:RGD Symbol;Acc:1586646]
ENSRNOG00000060687	1	0	0	ENSRNOG00000060687	Slc24a3	protein_coding	solute carrier family 24 member 3 [Source:RGD Symbol;Acc:69256]
ENSRNOG00000062405	1	0	0	ENSRNOG00000062405	Vom1r73	protein_coding	vomeronasal 1 receptor 73 [Source:RGD Symbol;Acc:1549715]
ENSRNOG00000062900	1	0	0	ENSRNOG00000062900	Vom1r76	protein_coding	vomeronasal 1 receptor 76 [Source:RGD Symbol;Acc:1549714]
ENSRNOG00000063072	1	0	0	ENSRNOG00000063072	Lcn3	protein_coding	lipocalin 3 [Source:RGD Symbol;Acc:1562745]
ENSRNOG00000063497	1	0	0	ENSRNOG00000063497	Vom1r74	protein_coding	vomeronasal 1 receptor 74 [Source:RGD Symbol;Acc:1549695]
ENSRNOG00000063676	1	0	0	ENSRNOG00000063676	Lhfpl4	protein_coding	LHFPL tetraspan subfamily member 4 [Source:RGD Symbol;Acc:727967]
ENSRNOG00000064090	1	0	0	ENSRNOG00000064090	Tmsb10	protein_coding	thymosin, beta 10 [Source:RGD Symbol;Acc:62022]
ENSRNOG00000064429	1	0	0	ENSRNOG00000064429	Snx21	protein_coding	sorting nexin family member 21 [Source:RGD Symbol;Acc:2323753]
ENSRNOG00000064527	1	0	0	ENSRNOG00000064527		protein_coding	similar to nidogen 2 protein [Source:RGD Symbol;Acc:1593261]
ENSRNOG00000064585	1	0	0	ENSRNOG00000064585	Dcdc2b	protein_coding	doublecortin domain containing 2B [Source:RGD Symbol;Acc:1583476]
ENSRNOG00000064942	1	0	0	ENSRNOG00000064942		protein_coding	odorant-binding protein 2b-like [Source:RGD Symbol;Acc:11418889]
ENSRNOG00000065204	1	0	0	ENSRNOG00000065204	Fam166b	protein_coding	family with sequence similarity 166, member B [Source:RGD Symbol;Acc:2318060]
ENSRNOG00000065301	1	0	0	ENSRNOG00000065301		protein_coding	similar to CCAAT displacement protein isoform b [Source:RGD Symbol;Acc:1592878]
ENSRNOG00000065630	1	0	0	ENSRNOG00000065630		protein_coding	zinc finger protein 120-like [Source:RGD Symbol;Acc:7717583]
ENSRNOG00000065735	1	0	0	ENSRNOG00000065735	Dhrs9	protein_coding	dehydrogenase/reductase 9 [Source:RGD Symbol;Acc:620655]
ENSRNOG00000066137	1	0	0	ENSRNOG00000066137	Tmem240	protein_coding	transmembrane protein 240 [Source:RGD Symbol;Acc:2318117]
ENSRNOG00000066798	1	0	0	ENSRNOG00000066798	Peg10	protein_coding	paternally expressed 10 [Source:RGD Symbol;Acc:1595574]
ENSRNOG00000067005	1	0	1	ENSRNOG00000067005		protein_coding	
ENSRNOG00000067541	1	0	0	ENSRNOG00000067541	RGD1564319	protein_coding	similar to TF-1 apoptosis related protein 19 [Source:RGD Symbol;Acc:1564319]
ENSRNOG00000067648	1	0	0	ENSRNOG00000067648		protein_coding	histone cluster 1, H2ao [Source:NCBI gene (formerly Entrezgene);Acc:364723]
ENSRNOG00000068151	1	0	0	ENSRNOG00000068151	Vom1r75	protein_coding	vomeronasal 1 receptor 75 [Source:RGD Symbol;Acc:11405111]
ENSRNOG00000068381	1	0	0	ENSRNOG00000068381		protein_coding	
ENSRNOG00000068982	1	0	0	ENSRNOG00000068982	Vom1r77	protein_coding	vomeronasal 1 receptor 77 [Source:RGD Symbol;Acc:1359218]
ENSRNOG00000069899	1	1	0	ENSRNOG00000069899		protein_coding	
ENSRNOG00000070281	1	0	0	ENSRNOG00000070281	RGD1559747	protein_coding	similar to Zinc finger and SCAN domain containing protein 2 (Zinc finger protein 29) [Source:RGD Symbol;Acc:1559747]
