gene	rTS_SCR	e13.5_WT	e18.5_WT	gene	external_gene_name	gene_biotype	description
ENSRNOG00000007744	1	0	0	ENSRNOG00000007744	Ehd3	protein_coding	EH-domain containing 3 [Source:RGD Symbol;Acc:621762]
ENSRNOG00000007821	1	0	1	ENSRNOG00000007821	Dyrk2	protein_coding	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2 [Source:MGI Symbol;Acc:MGI:1330301]
ENSRNOG00000007862	1	0	0	ENSRNOG00000007862	Acat1	protein_coding	acetyl-CoA acetyltransferase 1 [Source:RGD Symbol;Acc:2016]
ENSRNOG00000007934	1	0	0	ENSRNOG00000007934	Elfn2	protein_coding	extracellular leucine-rich repeat and fibronectin type III domain containing 2 [Source:RGD Symbol;Acc:1559693]
ENSRNOG00000007970	1	0	0	ENSRNOG00000007970	Plxnc1	protein_coding	plexin C1 [Source:RGD Symbol;Acc:1307420]
ENSRNOG00000008015	1	0	0	ENSRNOG00000008015	Fos	protein_coding	Fos proto-oncogene, AP-1 transcription factor subunit [Source:RGD Symbol;Acc:2626]
ENSRNOG00000008022	1	0	0	ENSRNOG00000008022	Apaf1	protein_coding	apoptotic peptidase activating factor 1 [Source:RGD Symbol;Acc:620575]
ENSRNOG00000008026	1	0	0	ENSRNOG00000008026	C2cd4c	protein_coding	C2 calcium-dependent domain containing 4C [Source:RGD Symbol;Acc:1561354]
ENSRNOG00000008030	1	0	0	ENSRNOG00000008030	Shc2	protein_coding	SHC adaptor protein 2 [Source:RGD Symbol;Acc:1307137]
ENSRNOG00000008038	1	0	0	ENSRNOG00000008038	Wbp2nl	protein_coding	WBP2 N-terminal like [Source:RGD Symbol;Acc:1586458]
ENSRNOG00000008106	1	1	0	ENSRNOG00000008106	Shmt2	protein_coding	serine hydroxymethyltransferase 2 [Source:RGD Symbol;Acc:1308582]
ENSRNOG00000008133	1	0	0	ENSRNOG00000008133	Mfng	protein_coding	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:RGD Symbol;Acc:735126]
ENSRNOG00000008177	1	0	0	ENSRNOG00000008177	Pim2	protein_coding	Pim-2 proto-oncogene, serine/threonine kinase [Source:RGD Symbol;Acc:1560759]
ENSRNOG00000008373	1	0	0	ENSRNOG00000008373	Colec11	protein_coding	collectin sub-family member 11 [Source:RGD Symbol;Acc:1309678]
ENSRNOG00000008401	1	0	0	ENSRNOG00000008401	Card10	protein_coding	caspase recruitment domain family, member 10 [Source:RGD Symbol;Acc:1304949]
ENSRNOG00000008519	1	0	1	ENSRNOG00000008519	Dipk2a	protein_coding	divergent protein kinase domain 2A [Source:RGD Symbol;Acc:1309079]
ENSRNOG00000008680	1	0	0	ENSRNOG00000008680	Loxl1	protein_coding	lysyl oxidase-like 1 [Source:RGD Symbol;Acc:1308752]
ENSRNOG00000008797	1	0	0	ENSRNOG00000008797	Tmpo	protein_coding	thymopoietin [Source:RGD Symbol;Acc:3875]
ENSRNOG00000008831	1	0	1	ENSRNOG00000008831	Hcn2	protein_coding	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2 [Source:RGD Symbol;Acc:620689]
ENSRNOG00000008857	1	0	0	ENSRNOG00000008857	Adamts10	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif, 10 [Source:RGD Symbol;Acc:1598320]
ENSRNOG00000008880	1	0	0	ENSRNOG00000008880	Nrk	protein_coding	Nik related kinase [Source:RGD Symbol;Acc:1566163]
ENSRNOG00000008996	1	0	0	ENSRNOG00000008996	Dpysl5	protein_coding	dihydropyrimidinase-like 5 [Source:RGD Symbol;Acc:620467]
ENSRNOG00000009014	1	0	1	ENSRNOG00000009014	Slc35f2	protein_coding	solute carrier family 35, member F2 [Source:RGD Symbol;Acc:1311242]
ENSRNOG00000009050	1	0	0	ENSRNOG00000009050	Amn	protein_coding	amnion associated transmembrane protein [Source:RGD Symbol;Acc:1308634]
ENSRNOG00000009151	1	0	0	ENSRNOG00000009151	Mipol1	protein_coding	mirror-image polydactyly 1 [Source:RGD Symbol;Acc:6504372]
ENSRNOG00000009193	1	1	1	ENSRNOG00000009193	Lctl	protein_coding	lactase-like [Source:RGD Symbol;Acc:1305177]
ENSRNOG00000009243	1	0	0	ENSRNOG00000009243	Oaf	protein_coding	out at first homolog [Source:RGD Symbol;Acc:1305890]
ENSRNOG00000009253	1	0	1	ENSRNOG00000009253	Igsf9b	protein_coding	immunoglobulin superfamily, member 9B [Source:RGD Symbol;Acc:1564717]
ENSRNOG00000009263	1	0	0	ENSRNOG00000009263	Ifi27	protein_coding	interferon, alpha-inducible protein 27 [Source:RGD Symbol;Acc:69404]
ENSRNOG00000009265	1	0	0	ENSRNOG00000009265	Kcnk9	protein_coding	potassium two pore domain channel subfamily K member 9 [Source:RGD Symbol;Acc:621451]
ENSRNOG00000009360	1	0	1	ENSRNOG00000009360	Sh3bp1	protein_coding	SH3-domain binding protein 1 [Source:RGD Symbol;Acc:1306275]
ENSRNOG00000009378	1	0	0	ENSRNOG00000009378	Rpl4	protein_coding	ribosomal protein L4 [Source:RGD Symbol;Acc:619824]
ENSRNOG00000009550	1	0	1	ENSRNOG00000009550	Sqle	protein_coding	squalene epoxidase [Source:RGD Symbol;Acc:3755]
ENSRNOG00000009580	1	0	0	ENSRNOG00000009580	Lca5	protein_coding	lebercilin LCA5 [Source:RGD Symbol;Acc:1308555]
ENSRNOG00000009599	1	0	0	ENSRNOG00000009599	Rwdd2a	protein_coding	RWD domain containing 2A [Source:RGD Symbol;Acc:1306231]
ENSRNOG00000009613	1	0	0	ENSRNOG00000009613	Sh3bgrl2	protein_coding	SH3 domain binding glutamic acid-rich protein like 2 [Source:MGI Symbol;Acc:MGI:1915350]
ENSRNOG00000009614	1	0	0	ENSRNOG00000009614		protein_coding	similar to 60S ribosomal protein L4 (L1) [Source:RGD Symbol;Acc:1583853]
ENSRNOG00000009736	1	0	1	ENSRNOG00000009736	A4galt	protein_coding	alpha 1,4-galactosyltransferase (P blood group) [Source:RGD Symbol;Acc:621583]
ENSRNOG00000009773	1	0	0	ENSRNOG00000009773	Elovl4	protein_coding	ELOVL fatty acid elongase 4 [Source:RGD Symbol;Acc:1305630]
ENSRNOG00000009893	1	0	0	ENSRNOG00000009893	Uxt	protein_coding	ubiquitously-expressed, prefoldin-like chaperone [Source:RGD Symbol;Acc:1359326]
ENSRNOG00000009945	1	0	1	ENSRNOG00000009945	Pls1	protein_coding	plastin 1 [Source:RGD Symbol;Acc:1307142]
ENSRNOG00000009946	1	0	1	ENSRNOG00000009946	Ldlr	protein_coding	low density lipoprotein receptor [Source:RGD Symbol;Acc:2998]
ENSRNOG00000009974	1	0	0	ENSRNOG00000009974	Coq3	protein_coding	coenzyme Q3 methyltransferase [Source:RGD Symbol;Acc:2380]
ENSRNOG00000010111	1	0	1	ENSRNOG00000010111	Exoc3l4	protein_coding	exocyst complex component 3-like 4 [Source:RGD Symbol;Acc:1307749]
ENSRNOG00000010165	1	0	0	ENSRNOG00000010165	Tnfaip2	protein_coding	TNF alpha induced protein 2 [Source:RGD Symbol;Acc:1594556]
ENSRNOG00000010252	1	0	0	ENSRNOG00000010252	Hexa	protein_coding	hexosaminidase subunit alpha [Source:RGD Symbol;Acc:2792]
ENSRNOG00000010386	1	0	0	ENSRNOG00000010386	H2ax	protein_coding	H2A.X variant histone [Source:RGD Symbol;Acc:1566119]
ENSRNOG00000010447	1	0	0	ENSRNOG00000010447	Tmod2	protein_coding	tropomodulin 2 [Source:RGD Symbol;Acc:61948]
ENSRNOG00000010480	1	0	0	ENSRNOG00000010480	Vstm5	protein_coding	V-set and transmembrane domain containing 5 [Source:RGD Symbol;Acc:1563328]
ENSRNOG00000010549	1	0	0	ENSRNOG00000010549	Tspo	protein_coding	translocator protein [Source:RGD Symbol;Acc:2228]
ENSRNOG00000010584	1	0	0	ENSRNOG00000010584	Tmem123	protein_coding	transmembrane protein 123 [Source:RGD Symbol;Acc:1305625]
ENSRNOG00000010605	1	1	0	ENSRNOG00000010605	Gsc	protein_coding	goosecoid homeobox [Source:RGD Symbol;Acc:631425]
ENSRNOG00000010617	1	0	0	ENSRNOG00000010617	Scube1	protein_coding	signal peptide, CUB domain and EGF like domain containing 1 [Source:RGD Symbol;Acc:1309015]
ENSRNOG00000010643	1	0	0	ENSRNOG00000010643	Kank2	protein_coding	KN motif and ankyrin repeat domains 2 [Source:RGD Symbol;Acc:2320289]
ENSRNOG00000010652	1	0	1	ENSRNOG00000010652	Dock6	protein_coding	dedicator of cytokinesis 6 [Source:RGD Symbol;Acc:1306517]
ENSRNOG00000010688	1	0	0	ENSRNOG00000010688	Nrgn	protein_coding	neurogranin [Source:MGI Symbol;Acc:MGI:1927184]
ENSRNOG00000010794	1	0	0	ENSRNOG00000010794	Dennd3	protein_coding	DENN domain containing 3 [Source:RGD Symbol;Acc:1311559]
ENSRNOG00000010834	1	0	0	ENSRNOG00000010834	Mpped1	protein_coding	metallophosphoesterase domain containing 1 [Source:RGD Symbol;Acc:1308244]
ENSRNOG00000010942	1	0	0	ENSRNOG00000010942	Gk5	protein_coding	glycerol kinase 5 [Source:RGD Symbol;Acc:1311223]
ENSRNOG00000010977	1	0	0	ENSRNOG00000010977	Igfbp6	protein_coding	insulin-like growth factor binding protein 6 [Source:RGD Symbol;Acc:2877]
ENSRNOG00000011026	1	0	0	ENSRNOG00000011026	Irf2bpl	protein_coding	interferon regulatory factor 2 binding protein-like [Source:RGD Symbol;Acc:1310994]
ENSRNOG00000011094	1	0	0	ENSRNOG00000011094	Efcab6	protein_coding	EF-hand calcium binding domain 6 [Source:MGI Symbol;Acc:MGI:1924877]
ENSRNOG00000011096	1	0	0	ENSRNOG00000011096	Hmgb3	protein_coding	high mobility group box 3 [Source:RGD Symbol;Acc:1564407]
ENSRNOG00000011136	1	0	0	ENSRNOG00000011136	Osr2	protein_coding	odd-skipped related transciption factor 2 [Source:RGD Symbol;Acc:1305812]
ENSRNOG00000011201	1	0	0	ENSRNOG00000011201	Cmtm8	protein_coding	CKLF-like MARVEL transmembrane domain containing 8 [Source:RGD Symbol;Acc:735040]
ENSRNOG00000011241	1	0	0	ENSRNOG00000011241	Tfdp2	protein_coding	transcription factor Dp-2 [Source:RGD Symbol;Acc:1305814]
ENSRNOG00000011305	1	0	0	ENSRNOG00000011305	Sox10	protein_coding	SRY-box transcription factor 10 [Source:RGD Symbol;Acc:3735]
ENSRNOG00000011334	1	0	0	ENSRNOG00000011334	Tmem63c	protein_coding	transmembrane protein 63c [Source:RGD Symbol;Acc:1310207]
ENSRNOG00000011335	1	0	0	ENSRNOG00000011335	Gpr50	protein_coding	G protein-coupled receptor 50 [Source:RGD Symbol;Acc:619863]
ENSRNOG00000011446	1	1	1	ENSRNOG00000011446	Vill	protein_coding	villin-like [Source:RGD Symbol;Acc:1304843]
ENSRNOG00000011494	1	1	0	ENSRNOG00000011494	Rpl36a	protein_coding	ribosomal protein L36a-like [Source:RGD Symbol;Acc:621156]
ENSRNOG00000011543	1	0	0	ENSRNOG00000011543	Fam118b	protein_coding	family with sequence similarity 118, member B [Source:RGD Symbol;Acc:1307173]
ENSRNOG00000011729	1	0	1	ENSRNOG00000011729	Nxf2	protein_coding	nuclear RNA export factor 2 [Source:RGD Symbol;Acc:1559530]
ENSRNOG00000011789	1	0	0	ENSRNOG00000011789	Cdon	protein_coding	cell adhesion associated, oncogene regulated [Source:RGD Symbol;Acc:708433]
ENSRNOG00000011852	1	0	0	ENSRNOG00000011852	Myo6	protein_coding	myosin VI [Source:RGD Symbol;Acc:1560646]
ENSRNOG00000011914	1	0	0	ENSRNOG00000011914	Dtnb	protein_coding	dystrobrevin, beta [Source:RGD Symbol;Acc:1309579]
ENSRNOG00000012164	1	0	0	ENSRNOG00000012164	Plppr2	protein_coding	phospholipid phosphatase related 2 [Source:RGD Symbol;Acc:1597171]
ENSRNOG00000012215	1	0	0	ENSRNOG00000012215	Baiap2l2	protein_coding	BAR/IMD domain containing adaptor protein 2 like 2 [Source:RGD Symbol;Acc:1595091]
ENSRNOG00000012438	1	0	0	ENSRNOG00000012438	Larp6	protein_coding	La ribonucleoprotein 6, translational regulator [Source:RGD Symbol;Acc:1308414]
ENSRNOG00000012480	1	0	0	ENSRNOG00000012480	Pxylp1	protein_coding	2-phosphoxylose phosphatase 1 [Source:RGD Symbol;Acc:1359617]
ENSRNOG00000012835	1	0	1	ENSRNOG00000012835	Espl1	protein_coding	extra spindle pole bodies like 1, separase [Source:RGD Symbol;Acc:1306266]
ENSRNOG00000012950	1	0	0	ENSRNOG00000012950	Efr3b	protein_coding	EFR3 homolog B [Source:RGD Symbol;Acc:1310845]
ENSRNOG00000013220	1	0	0	ENSRNOG00000013220	Arhgap45	protein_coding	Rho GTPase activating protein 45 [Source:RGD Symbol;Acc:1308662]
ENSRNOG00000013263	1	1	0	ENSRNOG00000013263	Odad3	protein_coding	outer dynein arm docking complex subunit 3 [Source:RGD Symbol;Acc:1310048]
ENSRNOG00000013322	1	0	0	ENSRNOG00000013322	Pola1	protein_coding	DNA polymerase alpha 1, catalytic subunit [Source:RGD Symbol;Acc:621816]
ENSRNOG00000013661	1	1	0	ENSRNOG00000013661	Kif26a	protein_coding	kinesin family member 26A [Source:RGD Symbol;Acc:1307957]
ENSRNOG00000013752	1	1	0	ENSRNOG00000013752	Elavl3	protein_coding	ELAV like RNA binding protein 3 [Source:RGD Symbol;Acc:628892]
ENSRNOG00000013802	1	0	0	ENSRNOG00000013802	Slc25a36	protein_coding	solute carrier family 25 member 36 [Source:RGD Symbol;Acc:1591928]
ENSRNOG00000013959	1	0	0	ENSRNOG00000013959	Skor1	protein_coding	SKI family transcriptional corepressor 1 [Source:RGD Symbol;Acc:1307687]
ENSRNOG00000014060	1	0	0	ENSRNOG00000014060	Mras	protein_coding	muscle RAS oncogene homolog [Source:RGD Symbol;Acc:3111]
ENSRNOG00000014218	1	0	0	ENSRNOG00000014218	Tmem25	protein_coding	transmembrane protein 25 [Source:RGD Symbol;Acc:1596132]
ENSRNOG00000014314	1	0	1	ENSRNOG00000014314	Slc39a4	protein_coding	solute carrier family 39 member 4 [Source:RGD Symbol;Acc:1306701]
ENSRNOG00000014343	1	0	1	ENSRNOG00000014343	Anln	protein_coding	anillin, actin binding protein [Source:RGD Symbol;Acc:1561367]
ENSRNOG00000014644	1	0	0	ENSRNOG00000014644	Zic1	protein_coding	Zic family member 1 [Source:RGD Symbol;Acc:620110]
ENSRNOG00000014703	1	0	1	ENSRNOG00000014703	Tonsl	protein_coding	tonsoku-like, DNA repair protein [Source:RGD Symbol;Acc:1307483]
ENSRNOG00000014846	1	0	0	ENSRNOG00000014846	Anp32a	protein_coding	acidic nuclear phosphoprotein 32 family member A [Source:RGD Symbol;Acc:11508551]
ENSRNOG00000015049	1	0	0	ENSRNOG00000015049	Scn5a	protein_coding	sodium voltage-gated channel alpha subunit 5 [Source:RGD Symbol;Acc:3637]
ENSRNOG00000015133	1	0	0	ENSRNOG00000015133	Kmt2a	protein_coding	lysine methyltransferase 2A [Source:RGD Symbol;Acc:1586165]
ENSRNOG00000015189	1	0	0	ENSRNOG00000015189	Bbs9	protein_coding	Bardet-Biedl syndrome 9 [Source:RGD Symbol;Acc:1308472]
ENSRNOG00000015320	1	0	0	ENSRNOG00000015320	Atp5mc2	protein_coding	ATP synthase membrane subunit c locus 2 [Source:RGD Symbol;Acc:620051]
ENSRNOG00000015336	1	0	0	ENSRNOG00000015336	Isl2	protein_coding	ISL LIM homeobox 2 [Source:RGD Symbol;Acc:621849]
ENSRNOG00000015603	1	0	0	ENSRNOG00000015603	Prkce	protein_coding	protein kinase C, epsilon [Source:RGD Symbol;Acc:61925]
ENSRNOG00000015667	1	0	0	ENSRNOG00000015667	Epcam	protein_coding	epithelial cell adhesion molecule [Source:RGD Symbol;Acc:621365]
ENSRNOG00000015750	1	0	0	ENSRNOG00000015750	Wnt7b	protein_coding	Wnt family member 7B [Source:RGD Symbol;Acc:1311441]
ENSRNOG00000015796	1	0	1	ENSRNOG00000015796	Msh2	protein_coding	mutS homolog 2 [Source:RGD Symbol;Acc:620786]
ENSRNOG00000015869	1	0	0	ENSRNOG00000015869	Pccb	protein_coding	propionyl-CoA carboxylase subunit beta [Source:RGD Symbol;Acc:3265]
ENSRNOG00000015878	1	0	1	ENSRNOG00000015878	Pif1	protein_coding	PIF1 5'-to-3' DNA helicase [Source:RGD Symbol;Acc:1586053]
ENSRNOG00000015896	1	0	1	ENSRNOG00000015896	Rbpms2	protein_coding	RNA binding protein, mRNA processing factor 2 [Source:RGD Symbol;Acc:1561222]
ENSRNOG00000016116	1	0	0	ENSRNOG00000016116	Hoxc12	protein_coding	homeo box C12 [Source:RGD Symbol;Acc:1310539]
ENSRNOG00000016141	1	0	0	ENSRNOG00000016141	Hoxc11	protein_coding	homeobox C11 [Source:RGD Symbol;Acc:6489991]
ENSRNOG00000016148	1	0	1	ENSRNOG00000016148	Gtse1	protein_coding	G-2 and S-phase expressed 1 [Source:RGD Symbol;Acc:1563164]
ENSRNOG00000016149	1	0	0	ENSRNOG00000016149	Hoxc10	protein_coding	homeo box C10 [Source:RGD Symbol;Acc:1307250]
ENSRNOG00000016156	1	1	0	ENSRNOG00000016156	Nptxr	protein_coding	neuronal pentraxin receptor [Source:RGD Symbol;Acc:628898]
ENSRNOG00000016203	1	0	1	ENSRNOG00000016203	Efna2	protein_coding	ephrin A2 [Source:RGD Symbol;Acc:620389]
ENSRNOG00000016502	1	0	0	ENSRNOG00000016502	Dscaml1	protein_coding	DS cell adhesion molecule-like 1 [Source:RGD Symbol;Acc:1304887]
ENSRNOG00000016598	1	0	0	ENSRNOG00000016598	Hoxc5	protein_coding	homeo box C5 [Source:RGD Symbol;Acc:1307584]
ENSRNOG00000016847	1	0	0	ENSRNOG00000016847	Bace1	protein_coding	beta-secretase 1 [Source:RGD Symbol;Acc:2191]
ENSRNOG00000016875	1	0	0	ENSRNOG00000016875	Cbx7	protein_coding	chromobox 7 [Source:RGD Symbol;Acc:735027]
ENSRNOG00000016896	1	0	1	ENSRNOG00000016896	Rpl3	protein_coding	ribosomal protein L3 [Source:RGD Symbol;Acc:735105]
ENSRNOG00000016968	1	0	0	ENSRNOG00000016968	Gramd4	protein_coding	GRAM domain containing 4 [Source:RGD Symbol;Acc:1309983]
ENSRNOG00000017193	1	0	1	ENSRNOG00000017193	Lingo1	protein_coding	leucine rich repeat and Ig domain containing 1 [Source:RGD Symbol;Acc:1308668]
ENSRNOG00000017197	1	0	1	ENSRNOG00000017197	Pdgfb	protein_coding	platelet derived growth factor subunit B [Source:RGD Symbol;Acc:3283]
ENSRNOG00000017434	1	0	1	ENSRNOG00000017434	Mgat3	protein_coding	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase [Source:RGD Symbol;Acc:3084]
ENSRNOG00000017704	1	1	0	ENSRNOG00000017704	Sema3f	protein_coding	semaphorin 3F [Source:RGD Symbol;Acc:1308514]
ENSRNOG00000018009	1	0	0	ENSRNOG00000018009	Rab8b	protein_coding	RAB8B, member RAS oncogene family [Source:RGD Symbol;Acc:628764]
ENSRNOG00000018373	1	0	0	ENSRNOG00000018373	Tln2	protein_coding	talin 2 [Source:RGD Symbol;Acc:1565416]
ENSRNOG00000018645	1	0	1	ENSRNOG00000018645	Rpsa	protein_coding	ribosomal protein SA [Source:RGD Symbol;Acc:71026]
ENSRNOG00000018778	1	0	0	ENSRNOG00000018778	Cadm1	protein_coding	cell adhesion molecule 1 [Source:RGD Symbol;Acc:1310999]
ENSRNOG00000018797	1	0	0	ENSRNOG00000018797	Myrip	protein_coding	myosin VIIA and Rab interacting protein [Source:RGD Symbol;Acc:727731]
ENSRNOG00000018812	1	1	0	ENSRNOG00000018812	Rpp25	protein_coding	ribonuclease P and MRP subunit p25 [Source:RGD Symbol;Acc:1305290]
ENSRNOG00000018923	1	0	1	ENSRNOG00000018923	AABR07041089.1	protein_coding	
ENSRNOG00000019007	1	0	0	ENSRNOG00000019007	Rpl14	protein_coding	ribosomal protein L14 [Source:RGD Symbol;Acc:621180]
ENSRNOG00000019400	1	0	0	ENSRNOG00000019400	Dag1	protein_coding	dystroglycan 1 [Source:RGD Symbol;Acc:621890]
ENSRNOG00000019584	1	0	0	ENSRNOG00000019584	Dlk1	protein_coding	delta like non-canonical Notch ligand 1 [Source:RGD Symbol;Acc:619931]
ENSRNOG00000019924	1	1	0	ENSRNOG00000019924	Thop1	protein_coding	thimet oligopeptidase 1 [Source:RGD Symbol;Acc:68330]
ENSRNOG00000020249	1	0	0	ENSRNOG00000020249	P4htm	protein_coding	prolyl 4-hydroxylase, transmembrane [Source:RGD Symbol;Acc:1311848]
ENSRNOG00000020266	1	0	0	ENSRNOG00000020266	Eef2	protein_coding	eukaryotic translation elongation factor 2 [Source:RGD Symbol;Acc:61979]
ENSRNOG00000020407	1	0	0	ENSRNOG00000020407	Atcay	protein_coding	ATCAY kinesin light chain interacting caytaxin [Source:RGD Symbol;Acc:1309312]
ENSRNOG00000020579	1	0	0	ENSRNOG00000020579	Col7a1	protein_coding	collagen type VII alpha 1 chain [Source:RGD Symbol;Acc:1311417]
ENSRNOG00000020580	1	1	0	ENSRNOG00000020580	Shfl	protein_coding	shiftless antiviral inhibitor of ribosomal frameshifting [Source:RGD Symbol;Acc:1565995]
ENSRNOG00000020679	1	0	0	ENSRNOG00000020679	Icam1	protein_coding	intercellular adhesion molecule 1 [Source:RGD Symbol;Acc:2857]
ENSRNOG00000020694	1	0	0	ENSRNOG00000020694	Icam5	protein_coding	intercellular adhesion molecule 5 [Source:RGD Symbol;Acc:1305039]
ENSRNOG00000020737	1	0	0	ENSRNOG00000020737	Cdc25a	protein_coding	cell division cycle 25A [Source:RGD Symbol;Acc:621498]
ENSRNOG00000020948	1	0	0	ENSRNOG00000020948	Pth1r	protein_coding	parathyroid hormone 1 receptor [Source:RGD Symbol;Acc:3442]
ENSRNOG00000021091	1	0	0	ENSRNOG00000021091	Trank1	protein_coding	tetratricopeptide repeat and ankyrin repeat containing 1 [Source:RGD Symbol;Acc:1563130]
ENSRNOG00000021638	1	0	0	ENSRNOG00000021638	Pycr3	protein_coding	eukaryotic translation elongation factor 1 delta [Source:RGD Symbol;Acc:621174]
ENSRNOG00000021748	1	0	0	ENSRNOG00000021748	Las1l	protein_coding	LAS1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1923380]
ENSRNOG00000022623	1	0	0	ENSRNOG00000022623	Ttll12	protein_coding	tubulin tyrosine ligase like 12 [Source:RGD Symbol;Acc:1305319]
ENSRNOG00000022777	1	0	0	ENSRNOG00000022777	Six1	protein_coding	SIX homeobox 1 [Source:RGD Symbol;Acc:620906]
ENSRNOG00000022806	1	1	1	ENSRNOG00000022806		protein_coding	
ENSRNOG00000022882	1	0	1	ENSRNOG00000022882		protein_coding	40S ribosomal protein SA-like [Source:RGD Symbol;Acc:6486723]
ENSRNOG00000023458	1	0	1	ENSRNOG00000023458	Dcaf12l1	protein_coding	DDB1 and CUL4 associated factor 12-like 1 [Source:RGD Symbol;Acc:1563873]
ENSRNOG00000023633	1	0	0	ENSRNOG00000023633	Crabp1	protein_coding	cellular retinoic acid binding protein 1 [Source:RGD Symbol;Acc:2400]
ENSRNOG00000023733	1	0	0	ENSRNOG00000023733		protein_coding	
ENSRNOG00000024503	1	0	0	ENSRNOG00000024503	Nbas	protein_coding	NBAS subunit of NRZ tethering complex [Source:RGD Symbol;Acc:1585140]
ENSRNOG00000024603	1	0	0	ENSRNOG00000024603	Rps15	protein_coding	ribosomal protein S15 [Source:RGD Symbol;Acc:62026]
ENSRNOG00000024757	1	0	0	ENSRNOG00000024757	Endod1	protein_coding	endonuclease domain containing 1 [Source:RGD Symbol;Acc:1310444]
ENSRNOG00000024886	1	1	0	ENSRNOG00000024886	Ext1	protein_coding	exostosin glycosyltransferase 1 [Source:RGD Symbol;Acc:1587375]
ENSRNOG00000024975	1	0	0	ENSRNOG00000024975	Atp8b3	protein_coding	ATPase phospholipid transporting 8B3 [Source:RGD Symbol;Acc:1307622]
ENSRNOG00000025059	1	0	0	ENSRNOG00000025059	Nxph4	protein_coding	neurexophilin 4 [Source:RGD Symbol;Acc:628723]
ENSRNOG00000025120	1	0	0	ENSRNOG00000025120	Gli1	protein_coding	GLI family zinc finger 1 [Source:RGD Symbol;Acc:621673]
ENSRNOG00000025200	1	0	0	ENSRNOG00000025200		protein_coding	uncharacterized LOC102553785 [Source:RGD Symbol;Acc:7751972]
ENSRNOG00000025211	1	0	0	ENSRNOG00000025211		protein_coding	rCG64283-like [Source:RGD Symbol;Acc:2320498]
ENSRNOG00000025383	1	0	0	ENSRNOG00000025383	Pdha1	protein_coding	pyruvate dehydrogenase E1 subunit alpha 1 [Source:RGD Symbol;Acc:3286]
ENSRNOG00000025584	1	0	0	ENSRNOG00000025584	Agap2	protein_coding	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:RGD Symbol;Acc:628844]
ENSRNOG00000025594	1	0	0	ENSRNOG00000025594	Scrt1	protein_coding	scratch family transcriptional repressor 1 [Source:RGD Symbol;Acc:1306236]
ENSRNOG00000025624	1	1	0	ENSRNOG00000025624	Arhgap20	protein_coding	Rho GTPase activating protein 20 [Source:RGD Symbol;Acc:1303160]
ENSRNOG00000025730	1	0	0	ENSRNOG00000025730	Armcx3	protein_coding	armadillo repeat containing, X-linked 3 [Source:MGI Symbol;Acc:MGI:1918953]
ENSRNOG00000026178	1	0	0	ENSRNOG00000026178	Adpgk	protein_coding	ADP-dependent glucokinase [Source:RGD Symbol;Acc:1306103]
ENSRNOG00000026252	1	0	0	ENSRNOG00000026252	E2f7	protein_coding	E2F transcription factor 7 [Source:RGD Symbol;Acc:1310258]
ENSRNOG00000026474	1	0	0	ENSRNOG00000026474	Cad	protein_coding	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:RGD Symbol;Acc:1588606]
ENSRNOG00000026502	1	0	1	ENSRNOG00000026502	Dscc1	protein_coding	DNA replication and sister chromatid cohesion 1 [Source:RGD Symbol;Acc:1561749]
ENSRNOG00000026605	1	1	0	ENSRNOG00000026605	Ifi27l2b	protein_coding	interferon, alpha-inducible protein 27 like 2B [Source:RGD Symbol;Acc:1559721]
ENSRNOG00000026649	1	0	0	ENSRNOG00000026649	Dnmt3a	protein_coding	DNA methyltransferase 3 alpha [Source:RGD Symbol;Acc:1303336]
ENSRNOG00000026821	1	0	0	ENSRNOG00000026821	Arhgap42	protein_coding	Rho GTPase activating protein 42 [Source:RGD Symbol;Acc:1564081]
ENSRNOG00000027295	1	0	0	ENSRNOG00000027295	Aph1b	protein_coding	aph-1 homolog B, gamma secretase subunit [Source:RGD Symbol;Acc:1562468]
ENSRNOG00000027331	1	0	0	ENSRNOG00000027331	Ppef1	protein_coding	protein phosphatase with EF-hand domain 1 [Source:RGD Symbol;Acc:1562772]
ENSRNOG00000027332	1	0	0	ENSRNOG00000027332	Gemin6	protein_coding	gem (nuclear organelle) associated protein 6 [Source:RGD Symbol;Acc:1311168]
ENSRNOG00000027503	1	0	0	ENSRNOG00000027503	Rps25	protein_coding	ribosomal protein s25 [Source:RGD Symbol;Acc:621043]
ENSRNOG00000027880	1	0	0	ENSRNOG00000027880	Nbeal2	protein_coding	neurobeachin-like 2 [Source:RGD Symbol;Acc:1306501]
ENSRNOG00000027940	1	0	0	ENSRNOG00000027940	Plppr3	protein_coding	phospholipid phosphatase related 3 [Source:RGD Symbol;Acc:727823]
ENSRNOG00000028179	1	1	1	ENSRNOG00000028179	AABR07038552.1	protein_coding	MAGE family member B2 [Source:RGD Symbol;Acc:1560904]
